,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
113526,private_auto,3041.7517308646384,360850146044,40.5467,-74.1629,360850176002,40.531,-74.1646,175.0,532.3065529013116
113597,private_auto,5907.308032644126,360850151005,40.6142,-74.1268,360850277022,40.5801,-74.1662,175.0,1033.778905712722
113636,private_auto,7585.12281650442,360850277022,40.5801,-74.1662,360850176004,40.5292,-74.1675,175.0,1327.3964928882735
113656,private_auto,2001.9238606458,360850291052,40.6041,-74.1692,360850277063,40.5885,-74.1644,175.0,350.336675613015
113744,private_auto,28766.588197172656,360850208061,40.5481,-74.2093,360470212002,40.6283,-74.0045,175.0,5034.152934505215
114113,private_auto,4444.029562936147,360850170073,40.5622,-74.1854,360850208043,40.5312,-74.1978,175.0,777.7051735138257
114176,private_auto,28152.95915316308,360850170071,40.5576,-74.1889,360470294001,40.5953,-73.9985,175.0,4926.767851803538
114220,private_auto,10120.922425244404,360850156032,40.5371,-74.1475,360850273012,40.5993,-74.1482,175.0,1771.1614244177706
114526,private_auto,6697.928966329915,360850277022,40.5801,-74.1662,360850170131,40.5526,-74.1995,175.0,1172.137569107735
114636,private_auto,5079.953460210455,360850208062,40.5499,-74.2049,360850176002,40.531,-74.1646,175.0,888.9918555368297
114646,private_auto,326.5713576012986,360850208061,40.5481,-74.2093,360850208062,40.5499,-74.2049,175.0,57.14998758022725
114913,private_auto,4451.197185162266,360850208031,40.5349,-74.2148,360850170071,40.5576,-74.1889,175.0,778.9595074033965
114988,private_auto,8402.250032333463,360850226013,40.5295,-74.2208,360850277022,40.5801,-74.1662,175.0,1470.393755658356
115062,private_auto,4931.155099803237,360850244013,40.5124,-74.2303,360850198004,40.5217,-74.1924,175.0,862.9521424655665
115068,private_auto,1961.1334945754563,360850244011,40.5058,-74.2497,360850244013,40.5124,-74.2303,175.0,343.1983615507049
115247,private_auto,18336.119617911914,360850248002,40.5128,-74.2446,360850070023,40.5861,-74.0783,175.0,3208.820933134585
115787,private_auto,10791.262610450529,360470579012,40.7338,-73.9513,360810329002,40.7648,-73.88,175.0,1888.4709568288426
115985,private_auto,6206.240372492051,360470720001,40.6289,-73.92,360470508031,40.6539,-73.9606,175.0,1086.092065186109
116562,private_auto,29461.722488440828,360811571018,40.7326,-73.717,360610156021,40.7852,-73.9463,175.0,5155.801435477145
117330,private_auto,1535.8926253258985,360811151001,40.7686,-73.8076,360811139001,40.7665,-73.7918,175.0,268.7812094320322
117844,private_auto,2067.810653675092,360811039004,40.7859,-73.822,360810945002,40.7849,-73.8305,175.0,361.8668643931411
118389,private_auto,1848.3351905912425,360810158023,40.688,-73.8219,360810864002,40.6778,-73.8368,175.0,323.4586583534674
118410,private_auto,18485.208411725573,360810306001,40.665,-73.7872,360810981002,40.791,-73.8147,175.0,3234.911472051975
