hex_id,Mean_Degree
882a100db5fffff,4.266666666666667
882a107749fffff,5.204081632653061
882a100dbdfffff,4.255813953488372
882a100da3fffff,5.2745098039215685
882a100da7fffff,5.19672131147541
882a100d87fffff,4.288888888888889
882a100dabfffff,5.153846153846154
882a100da1fffff,5.333333333333333
882a100dd3fffff,4.843373493975903
882a100dd7fffff,4.711538461538462
882a100ddbfffff,2.0
882a100dd1fffff,5.318181818181818
882a100dd9fffff,5.208333333333333
882a100dddfffff,4.983333333333333
882a100c37fffff,5.271604938271605
882a100dcbfffff,5.65
882a100c31fffff,4.703125
882a100c35fffff,4.541666666666667
882a100da5fffff,4.360655737704918
882a100d85fffff,3.86046511627907
882a100da9fffff,4.391304347826087
882a100dadfffff,5.326530612244898
882a100de3fffff,5.108695652173913
882a100de7fffff,4.237288135593221
882a100de1fffff,4.421686746987952
882a100de5fffff,4.131147540983607
882a100de9fffff,5.055555555555555
882a100dedfffff,4.26
882a100dd5fffff,4.901408450704225
882a100d89fffff,5.015873015873016
882a100d8dfffff,4.264705882352941
882a100dc3fffff,4.864406779661017
882a100dc7fffff,4.466666666666667
882a100debfffff,4.925
882a100dc1fffff,5.333333333333333
882a100dc5fffff,4.964285714285714
882a100dcdfffff,5.512195121951219
882a100d13fffff,5.185714285714286
882a100c27fffff,5.0
882a100d1bfffff,5.2272727272727275
882a100d11fffff,4.694444444444445
882a100c25fffff,5.730769230769231
882a100d19fffff,4.857142857142857
882a100d1dfffff,4.481481481481482
882a100d53fffff,4.45
